,Stock,Stock code,Industry,Trendlyne Durability Score,Trendlyne Valuation Score,MCAP Cr,Total Revenue Qtr cr,Net profit TTM Cr,Net Cash Flow Annual Cr,Long Term Debt To Equity Annual,Price to Book,Industry Price to Book TTM,3Yr price change %,5Yr price change %,10Yr price change %,EPS Qtr YoY Growth %,Operating Profit Annual YoY Growth %,Operating Profit Qtr Margin Growth YoY %,Net Profit Annual YoY Growth %,Net Profit Qtr Growth YoY %,Net Profit QoQ Growth %,Revenue Growth Annual YoY %,EBIDT Qtr growth YoY %,Revenue QoQ Growth %,Dividend yield 1yr %,Promoter holding latest %,Piotroski Score,Graham Number,RoA Annual %,ROCE Annual %,ROE Annual %
185,MOIL Ltd.,MOIL,Mining,75.0,62.67,2901.7,476.07,376.98,-199.99,0.0,1.35,15.14,-7.7,-10.43,0.56,21.06,88.79,32.05,113.43,12.96,5.8,18.42,22.03,28.77,5.54,64.68,7,209.45,14.61,23.43,17.6
186,KEI Industries Ltd.,KEI,Other Electrical Equipment/Products,75.0,25.5,10562.15,1799.54,376.02,100.7,0.0,4.95,8.55,144.31,424.01,6898.21,29.35,27.81,-15.61,37.58,29.82,14.58,36.64,24.65,14.57,0.21,38.02,6,471.74,10.66,24.96,17.6
187,Hindalco Industries Ltd.,HINDALCO,Aluminium and Aluminium Products,80.0,81.33,77201.62,56057.0,13730.0,-13287.0,0.66,0.98,1.0,66.69,82.98,193.63,99.65,61.65,-6.18,294.2,99.74,4.79,47.29,25.18,10.92,0.87,34.64,8,700.14,6.15,15.6,17.55
188,Oil And Natural Gas Corporation Ltd.,ONGC,Exploration & Production,75.0,86.17,191664.37,158648.42,45522.07,-146.19,0.34,0.66,0.67,-12.46,-6.63,-19.2,12.17,61.47,15.48,180.16,12.19,-3.49,72.09,15.51,7.03,6.09,58.91,8,428.21,7.77,13.19,17.54
189,Deepak Fertilisers & Petrochemicals Corporation Ltd.,DEEPAKFERT,Commodity Chemicals,75.0,60.83,7503.89,2022.53,678.27,10.51,0.6,1.87,4.83,418.76,131.45,375.91,110.24,41.94,43.75,69.44,146.89,55.62,31.95,83.51,2.9,1.21,47.58,8,648.07,7.75,17.95,17.46
190,Sundram Fasteners Ltd.,SUNDRMFAST,Auto Parts & Equipment,75.0,22.83,15112.43,1349.89,456.72,12.61,0.09,5.73,6.66,41.39,70.97,1393.67,-24.44,20.67,-23.14,27.16,-24.33,-1.43,34.58,-16.37,10.96,0.9,49.69,6,247.75,10.66,21.42,17.42
191,G R Infraprojects Ltd.,GRINFRA,Roads & Highways,35.0,34.33,10763.42,2414.36,831.91,-215.36,0.93,2.24,1.49,,,,,-6.18,,-12.87,,90.1,7.72,,21.03,0.0,86.54,2,981.44,7.12,15.98,17.29
192,CSB Bank Ltd.,CSBBANK,Banks,80.0,69.5,3460.17,583.17,458.49,774.73,0.76,1.31,2.35,,,,204.86,5.73,351.1,109.93,204.66,-11.86,0.75,40.25,-1.53,0.0,49.72,7,301.37,1.8,6.05,17.29
193,Elgi Equipments Ltd.,ELGIEQUIP,Industrial Machinery,90.0,14.83,12188.32,742.57,178.43,82.31,0.06,11.8,8.44,198.19,223.6,859.1,40.15,35.56,12.51,74.1,68.48,75.06,32.46,42.56,10.98,0.21,31.32,9,64.24,9.08,23.54,17.28
194,Brightcom Group Ltd.,BCG,Internet Software & Services,60.0,63.17,6346.36,1239.1,912.2,7.52,0.0,1.2,6.55,1323.08,740.91,,-59.78,74.13,-4.38,88.86,59.3,-39.95,74.42,55.92,-38.63,0.1,18.47,6,51.66,15.35,23.7,17.22
195,Schaeffler India Ltd.,SCHAEFFLER,Auto Parts & Equipment,70.0,16.5,35202.72,1587.56,696.7,-3.8,0.0,9.63,6.66,130.42,149.81,671.72,-70.18,81.22,21.73,116.21,48.43,8.64,47.38,39.94,2.91,0.71,74.13,6,484.2,12.84,22.83,17.21
196,TVS Motor Company Ltd.,TVSMOTOR,2/3 Wheelers,45.0,17.17,38966.64,6598.75,756.82,-128.08,1.66,7.71,4.97,91.06,53.58,2315.91,-10.57,23.09,-0.6,27.36,-10.51,11.99,25.27,7.9,-0.18,0.46,50.81,3,195.24,2.79,15.46,17.2
197,Indoco Remedies Ltd.,INDOCO,Pharmaceuticals,85.0,32.67,3431.22,409.43,154.79,-14.34,0.11,3.79,6.18,135.44,104.25,584.47,61.99,45.96,9.77,66.37,61.8,22.61,23.98,42.57,14.28,0.4,58.69,8,192.62,10.41,23.62,17.11
198,EID Parry (India) Ltd.,EIDPARRY,Sugar,65.0,73.5,8924.35,5756.35,906.83,613.01,0.01,1.1,1.89,195.85,68.89,191.14,4638.89,10.98,41.26,102.7,4871.61,32.77,27.45,129.51,-13.19,2.19,44.64,6,724.67,5.68,25.96,17.02
199,Varun Beverages Ltd.,VBL,Non-alcoholic Beverages,70.0,16.83,50661.62,2835.98,819.0,43.1,0.44,12.07,12.01,180.14,420.7,,31.03,37.67,10.28,110.96,96.67,1441.49,37.06,39.28,63.03,0.21,64.89,6,135.39,7.24,18.15,17.01
200,Garware Technical Fibres Ltd.,GARFIBRES,Textiles,65.0,19.33,6103.92,361.13,164.78,-24.9,0.0,6.29,3.69,144.56,260.88,5744.92,4.23,9.07,-2.64,4.03,1.26,41.58,13.63,2.03,15.64,0.08,52.62,7,920.05,11.64,22.29,16.97
201,Gland Pharma Ltd.,GLAND,Pharmaceuticals,65.0,16.5,43683.21,1168.25,1211.66,319.39,0.0,6.09,6.18,,,,9.23,15.97,-14.44,21.54,9.79,4.71,28.55,10.32,3.73,0.0,58.0,6,850.22,15.46,22.39,16.92
202,Whirlpool of India Ltd.,WHIRLPOOL,Consumer Electronics,60.0,21.67,19506.54,1720.32,566.37,-459.73,0.0,5.57,9.02,-2.83,37.2,685.04,-35.51,-19.91,-18.89,60.98,-35.55,91.15,4.51,-20.63,10.7,0.65,75.0,5,526.45,9.95,8.43,16.86
203,Balrampur Chini Mills Ltd.,BALRAMCHIN,Sugar,65.0,38.5,7504.59,1291.37,464.64,-1.05,0.05,2.71,1.89,162.43,151.66,651.38,5.17,-1.98,-20.63,-3.16,2.11,275.02,0.84,0.43,5.56,0.68,42.42,6,263.72,10.34,20.61,16.77
204,Cyient Ltd.,CYIENT,IT Consulting & Software,80.0,41.83,8560.16,1230.6,522.3,-292.3,0.0,2.75,9.85,43.04,52.31,384.66,50.69,42.23,27.14,43.57,49.56,17.0,8.76,34.33,-0.19,3.09,23.41,7,547.69,10.91,20.92,16.75
205,Metro Brands Ltd.,METROBRAND,Footwear,70.0,9.0,15751.5,416.52,211.59,15.82,0.0,12.24,13.59,,,,,138.55,,210.25,,-32.07,59.53,,-16.66,0.26,74.27,7,91.17,9.14,17.68,16.73
206,Galaxy Surfactants Ltd.,GALAXYSURF,Specialty Chemicals,70.0,19.67,10511.46,1054.13,262.78,35.42,0.05,6.68,11.55,138.4,,,25.1,-10.72,-8.1,-13.03,25.06,115.69,32.32,21.83,13.33,0.13,70.93,6,860.64,10.1,19.71,16.69
207,Mahanagar Gas Ltd.,MGL,Utilities:Non-Electrical,65.0,43.17,7550.58,1210.3,596.96,12.81,0.0,2.1,68.07,-11.25,-20.71,,-38.07,-1.03,-55.01,-3.65,-38.06,132.08,77.81,-28.55,5.76,3.07,32.5,6,703.71,11.4,20.82,16.59
208,Bharat Dynamics Ltd.,BDL,Defence,85.0,33.33,13174.25,1409.77,499.92,161.59,0.0,4.35,4.17,128.55,,,1.48,110.63,-3.39,93.95,1.53,23.96,45.82,8.03,71.8,1.11,74.93,9,318.56,7.61,18.75,16.49
209,Blue Star Ltd.,BLUESTARCO,Consumer Electronics,90.0,23.17,9045.8,2253.85,167.71,40.67,0.24,8.86,9.02,23.47,54.08,474.61,12.18,44.48,0.68,67.13,12.05,60.34,40.58,5.38,49.22,0.43,38.78,8,203.78,3.88,22.04,16.48
210,Bharat Forge Ltd.,BHARATFORG,Other Industrial Products,75.0,36.83,30670.65,3656.05,1081.76,87.26,0.27,4.63,7.94,44.48,20.85,351.66,12.95,133.94,-24.16,955.95,13.0,-44.03,63.82,30.67,49.21,0.53,45.25,7,272.75,6.93,15.6,16.46
211,Uflex Ltd.,UFLEX,Containers & Packaging,65.0,82.33,4270.59,3953.14,1098.82,215.51,0.46,0.64,2.27,141.54,55.04,442.57,32.32,20.38,-15.43,30.43,32.32,11.93,48.48,34.85,11.67,0.42,44.02,8,1781.8,7.61,16.81,16.41
212,Praj Industries Ltd.,PRAJIND,Construction & Engineering,75.0,23.33,6565.39,836.48,150.24,54.48,0.0,7.16,2.88,156.7,366.64,532.1,10.56,83.23,-28.76,85.37,10.84,55.6,77.2,8.0,41.56,0.6,32.83,6,95.84,6.78,21.87,16.4
213,KNR Constructions Ltd.,KNRCON,Construction & Engineering,55.0,28.5,6613.23,1121.91,381.84,86.77,0.59,2.58,2.88,68.39,127.2,1911.55,33.06,14.18,13.07,-6.27,32.85,179.38,23.53,28.98,28.95,0.11,51.48,3,166.73,7.24,16.9,16.4
214,Aegis Logistics Ltd.,AEGISCHEM,Oil Marketing & Distribution,85.0,38.83,7365.74,2117.08,357.41,74.35,0.03,3.26,1.58,3.94,14.86,1526.74,44.39,37.85,-31.35,60.05,44.81,-6.9,20.34,36.05,73.26,1.91,58.07,7,121.52,8.86,17.22,16.4
215,Polycab India Ltd.,POLYCAB,Other Electrical Equipment/Products,55.0,18.33,33481.85,3986.81,908.58,-116.03,0.0,6.01,8.55,264.82,,,14.25,13.86,-13.48,3.0,13.76,2.43,37.95,9.93,17.73,1.07,68.08,5,713.91,12.25,20.34,16.39
216,CCL Products India Ltd.,CCL,Tea & Coffee,70.0,26.5,5106.28,379.47,204.35,81.82,0.09,4.08,2.06,51.06,35.85,1574.74,7.03,11.19,-12.83,12.12,7.1,-9.87,17.68,-0.74,-11.07,1.3,46.26,5,180.26,9.87,19.28,16.33
217,PCBL Ltd.,PCBL,Carbon Black,60.0,39.0,3982.23,1230.97,426.02,-33.58,0.08,3.04,3.03,78.75,84.22,992.13,-68.46,26.04,-48.65,35.84,-30.96,-20.87,67.13,-25.73,5.42,4.74,51.38,5,66.4,8.9,17.46,16.29
218,V-Guard Industries Ltd.,VGUARD,Other Electrical Equipment/Products,55.0,19.0,9306.2,1061.85,227.69,257.34,0.0,6.59,8.55,-11.6,22.74,1164.81,31.65,8.37,-18.72,13.38,32.22,68.72,28.04,0.3,9.39,0.56,55.88,6,62.33,10.85,20.39,16.18
219,GMM Pfaudler Ltd.,GMMPFAUDLR,Industrial Machinery,75.0,16.33,6158.13,700.76,85.05,195.69,0.85,9.2,8.44,216.24,,,486.27,104.76,58.3,15.93,286.41,-49.59,148.61,494.61,8.89,0.12,54.95,7,774.63,3.11,9.53,16.13
220,Heidelberg Cement India Ltd.,HEIDELBERG,Cement & Cement Products,70.0,40.17,3956.66,632.44,252.26,-37.62,0.1,2.53,2.5,-11.51,40.52,462.32,-33.17,-14.23,-24.6,-19.9,-33.13,207.52,8.46,-21.54,13.87,4.58,69.39,7,131.52,8.93,18.69,16.11
221,Ipca Laboratories Ltd.,IPCALAB,Pharmaceuticals,65.0,24.67,22885.39,1303.64,884.08,263.62,0.07,4.11,6.18,95.08,278.09,419.02,-59.64,-15.22,-17.15,-22.45,-19.28,-33.88,7.54,-6.01,-9.88,0.44,46.29,5,414.86,11.57,18.52,16.09
222,Bajaj Finance Ltd.,BAJFINANCE,Finance (including NBFCs),50.0,12.83,337602.46,8630.28,7028.23,516.65,0.0,7.7,5.04,53.1,313.07,6264.13,79.06,24.89,14.73,59.02,79.67,13.84,18.58,44.41,1.1,0.18,55.86,4,1378.11,3.3,43.25,16.07
223,PNC Infratech Ltd.,PNCINFRA,Roads & Highways,60.0,50.17,5881.16,2247.33,580.13,0.58,1.2,1.62,1.49,13.29,59.48,,64.51,8.22,-4.19,16.7,64.4,197.9,23.7,12.71,29.28,0.22,56.07,6,268.24,5.45,13.81,15.99
224,Granules India Ltd.,GRANULES,Pharmaceuticals,45.0,36.83,6826.36,1033.93,412.76,-143.97,0.09,2.64,6.18,186.87,113.54,2220.83,-13.01,-15.55,-25.97,-24.88,-12.99,10.03,15.87,-4.2,3.33,0.54,41.98,4,197.64,9.14,20.24,15.95
225,JK Cement Ltd.,JKCEMENT,Cement & Cement Products,65.0,32.33,16226.34,2392.98,687.12,109.1,0.69,3.78,2.5,107.79,121.81,1279.31,-6.96,-3.66,-21.52,-3.18,-6.85,40.94,21.05,-10.95,15.79,0.71,45.82,6,1054.06,6.02,14.69,15.88
226,IndiaMART InterMESH Ltd.,INDIAMART,Internet Software & Services,55.0,14.0,12535.73,230.9,297.7,23.18,0.0,6.65,6.55,,,,-0.11,-6.2,-40.24,6.37,3.05,-18.23,14.49,-9.5,7.07,0.37,49.52,4,1157.86,10.09,17.81,15.87
227,Cholamandalam Financial Holdings Ltd.,CHOLAHLDNG,Holding Companies,45.0,52.0,11753.02,3794.24,1023.07,-1987.36,2.46,0.86,2.0,32.78,-5.95,,263.09,3.99,28.98,24.06,262.94,22.38,5.97,40.51,0.43,0.09,48.62,4,943.64,1.04,24.44,15.87
228,Manappuram Finance Ltd.,MANAPPURAM,Finance (including NBFCs),30.0,49.5,7405.95,1491.31,1328.42,-747.31,2.84,0.88,5.04,-37.43,-6.57,165.15,-44.3,-15.75,-16.89,-22.96,-44.25,0.03,-3.9,-23.78,-0.21,3.43,35.06,2,187.03,3.92,11.72,15.87
229,Mazagon Dock Shipbuilders Ltd.,MAZDOCK,Shipping,60.0,52.83,5150.15,1525.45,610.84,256.63,0.0,1.34,1.21,,,,-38.68,94.18,42.5,18.87,-38.64,-26.11,32.92,-34.69,-10.05,3.5,84.83,7,361.02,2.05,16.79,15.83
230,SIS Ltd.,SIS,Misc. Commercial Services,60.0,39.17,6734.4,2652.91,325.93,519.9,0.29,3.25,4.33,0.13,,,-4.34,-4.28,-6.86,-10.81,-4.75,-3.26,5.27,-34.33,1.81,0.0,71.55,6,265.26,6.39,14.76,15.73
231,Sheela Foam Ltd.,SFL,Furniture-Furnishing-Paints,60.0,12.83,13066.47,779.38,217.38,13.26,0.16,9.33,15.89,103.51,107.32,,-15.54,-13.08,-18.05,-8.0,-15.54,-26.27,23.06,-12.72,-13.35,0.0,72.95,5,536.48,9.21,17.27,15.7
232,Sudarshan Chemical Industries Ltd.,SUDARSCHEM,Specialty Chemicals,65.0,31.17,2941.81,628.87,129.97,7.8,0.44,3.53,11.55,33.93,17.29,844.12,-15.58,-4.5,-9.53,-7.9,-16.4,22.76,17.89,-2.24,4.22,1.41,35.82,4,225.48,5.48,14.59,15.59
233,Zensar Technologies Ltd.,ZENSARTECH,IT Consulting & Software,65.0,49.0,6126.2,1226.1,416.3,-137.17,0.0,2.28,9.85,6.07,58.15,418.78,45.94,-4.14,-27.54,38.75,47.05,42.75,15.1,32.75,4.65,1.44,49.09,6,221.98,10.75,20.03,15.49
234,Godrej Consumer Products Ltd.,GODREJCP,Personal Products,50.0,14.83,81203.17,2939.58,1783.39,-102.09,0.03,7.03,14.16,18.83,22.96,322.46,-0.84,0.29,-20.24,3.64,-0.71,-31.15,11.45,-6.17,-11.71,0.0,63.22,5,210.58,11.05,18.7,15.43
235,HDFC Bank Ltd.,HDFCBANK,Banks,55.0,25.17,747587.25,43960.45,38052.75,33948.12,0.92,3.02,2.35,9.32,61.41,390.31,22.88,2.49,-1.84,19.54,23.82,-1.4,7.58,14.07,2.85,1.63,25.78,3,829.81,1.79,6.27,15.38
236,Can Fin Homes Ltd.,CANFINHOME,Housing Finance ,45.0,33.5,5756.92,561.3,471.11,-371.53,0.0,1.88,2.16,24.44,-29.5,1938.43,19.87,-2.04,-3.67,3.3,19.85,6.25,-1.48,15.7,10.37,0.81,29.99,3,428.14,1.68,57.92,15.36
237,Finolex Cables Ltd.,FINCABLES,Other Electrical Equipment/Products,60.0,49.0,5855.28,1206.8,599.14,-831.42,0.0,1.49,8.55,-13.55,-19.71,820.31,33.94,15.75,-31.02,29.84,33.94,56.97,34.95,-7.36,21.98,1.44,35.92,7,475.4,13.33,10.97,15.27
238,Welspun India Ltd.,WELSPUNIND,Textiles,75.0,52.0,7118.96,2247.06,601.17,93.13,0.27,1.75,3.69,24.65,-12.72,1275.0,-59.23,0.5,-32.2,11.4,-59.89,-60.58,26.58,-31.2,-7.9,0.21,70.36,8,75.15,6.37,17.03,15.13
239,Au Small Finance Bank Ltd.,AUBANK,Banks,40.0,26.67,39238.56,1978.41,1129.83,1411.66,0.8,5.22,2.35,80.22,,,100.73,3.33,36.4,-3.49,104.8,14.58,8.03,34.47,11.4,0.0,0.0,4,219.45,1.63,6.81,15.03
240,Hikal Ltd.,HIKAL,Pharmaceuticals,75.0,37.17,3150.34,502.62,160.51,-24.05,0.27,2.95,6.18,53.64,87.63,584.44,-59.32,5.47,-40.83,20.56,-59.33,-54.18,12.88,-45.37,-2.37,0.86,68.77,6,159.28,7.25,17.29,15.02
241,Godfrey Phillips India Ltd.,GODFRYPHLP,Cigarettes-Tobacco Products,85.0,45.33,5622.36,877.77,438.07,-3.7,0.0,1.92,5.23,28.56,-11.32,53.78,8.9,16.99,2.43,16.35,8.91,-11.36,26.43,8.08,-1.62,2.22,72.83,8,1033.98,10.68,18.36,14.96
242,Cera Sanitaryware Ltd.,CERA,Furniture-Furnishing-Paints,80.0,22.0,5325.33,413.75,151.1,6.46,0.01,5.17,15.89,36.12,42.68,1382.19,14.92,44.72,21.68,49.94,14.91,21.61,17.61,4.64,1.35,1.17,54.48,7,1438.37,9.73,19.66,14.88
243,Indian Railway Finance Corporation Ltd.,IRFC,Finance (including NBFCs),65.0,63.17,25679.61,5932.8,6089.84,295.81,0.0,0.63,5.04,,,,-7.32,28.86,-0.26,37.9,0.67,-6.36,28.73,32.83,16.39,3.92,86.36,6,57.35,1.35,48.55,14.85
244,Mishra Dhatu Nigam Ltd.,MIDHANI,Iron & Steel Products,55.0,34.5,3080.81,338.98,176.62,24.0,0.02,2.59,5.49,31.14,,,8.52,6.95,26.47,6.13,8.5,88.85,6.93,23.88,38.03,1.91,74.0,4,116.05,6.35,13.17,14.84
245,UTI Asset Management Company Ltd.,UTIAMC,Asset Management Cos.,55.0,33.17,8192.13,304.98,534.29,86.72,0.0,2.26,5.65,,,,-59.75,13.17,-36.52,8.13,-59.68,-57.33,10.73,-33.07,-2.41,2.63,0.0,5,519.47,13.39,18.1,14.81
246,KSB Ltd.,KSB,Industrial Machinery,70.0,20.5,5116.22,427.2,145.9,-30.11,0.0,5.06,8.44,106.43,113.92,706.5,-7.93,24.84,-19.4,59.29,-7.97,2.54,23.75,-7.23,-6.05,0.85,66.69,7,523.45,9.28,18.75,14.77
247,UPL Ltd.,UPL,Agrochemicals,80.0,53.0,50121.38,15977.0,3626.0,-1602.0,0.88,1.71,5.33,4.29,17.83,696.79,41.49,14.09,2.86,26.3,29.73,47.33,19.43,27.02,40.4,1.52,28.45,7,639.2,4.38,13.67,14.7
248,KIOCL Ltd.,KIOCL,Iron & Steel/Interm.Products,55.0,17.0,11535.12,1157.8,313.4,164.01,0.0,5.38,2.17,47.07,100.53,,0.0,6.08,-23.79,4.07,-0.04,393.27,24.33,-8.44,212.75,1.38,99.03,4,63.97,11.77,17.99,14.62
249,Hero MotoCorp Ltd.,HEROMOTOCO,2/3 Wheelers,60.0,31.5,55283.84,7627.99,2316.88,-30.69,0.0,3.46,4.97,6.48,-25.13,34.64,-30.63,-15.97,-19.11,-20.59,-30.6,-13.13,-4.48,-23.75,-6.45,3.43,34.75,6,1445.23,10.3,19.51,14.62
250,UltraTech Cement Ltd.,ULTRACEMCO,Cement & Cement Products,75.0,35.67,160869.02,15859.67,7341.12,-712.52,0.11,3.19,2.5,21.17,43.71,280.81,47.63,-0.46,-23.93,34.25,47.61,53.45,16.82,-10.42,21.43,0.66,59.96,6,3161.73,8.74,14.61,14.54
251,Minda Corporation Ltd.,MINDACORP,Auto Parts & Equipment,80.0,37.5,4528.16,952.31,191.88,-23.5,0.14,3.4,6.66,77.67,75.78,4108.89,487.27,35.74,1.45,263.41,487.15,8.6,24.95,105.96,28.37,0.34,64.73,7,100.22,7.46,13.2,14.42
252,Ratnamani Metals & Tubes Ltd.,RATNAMANI,Iron & Steel/Interm.Products,70.0,22.67,11601.86,983.99,322.64,-3.24,0.04,5.16,2.17,157.56,203.25,2082.73,2.05,23.76,-24.18,16.9,2.02,25.3,35.66,6.51,5.08,0.56,60.16,7,864.58,10.89,18.87,14.35
253,Symphony Ltd.,SYMPHONY,Consumer Electronics,70.0,14.0,6022.95,400.0,120.0,13.96,0.13,7.13,9.02,-29.75,-36.0,773.0,0.0,15.8,-13.82,11.79,0.0,200.0,15.87,8.89,87.32,0.81,73.25,6,215.92,8.77,17.62,14.28
254,Navin Fluorine International Ltd.,NAVINFLUOR,Commodity Chemicals,25.0,9.0,18330.77,421.34,263.08,-44.88,0.05,9.94,4.83,422.74,508.63,5663.71,0.4,14.72,-7.96,2.15,0.48,9.25,18.61,-13.33,7.91,0.3,29.7,2,666.8,11.02,17.29,14.26
255,Carborundum Universal Ltd.,CARBORUNIV,Other Industrial Products,35.0,19.17,14372.92,881.7,333.34,115.09,0.0,5.87,7.94,111.82,132.69,399.14,-37.03,15.26,-39.08,17.25,-37.0,-43.84,26.34,-19.93,-3.33,0.4,41.94,4,225.72,10.03,18.11,14.1
256,Mahindra & Mahindra Ltd.,M&M,Cars & Utility Vehicles,65.0,53.83,138243.01,26215.47,6577.32,-131.7,1.08,2.18,3.74,69.02,62.3,221.11,108.82,7.36,-8.89,262.89,109.07,12.57,20.97,43.01,9.92,0.79,19.47,7,824.58,3.77,10.27,13.95
257,ICICI Bank Ltd.,ICICIBANK,Banks,55.0,42.83,494064.77,42834.06,26052.27,20361.62,0.89,2.71,2.35,61.08,146.72,358.26,57.14,56.38,50.61,36.58,57.98,18.09,-2.36,24.52,2.82,0.28,0.0,5,470.04,1.43,5.88,13.79
